7zip 25.01-1
alsa-firmware 1.2.4-4
android-studio 2025.2.2.7-1
appimagelauncher 3.0.0_beta_3-1
appmenu-gtk-module 25.04-2
ardour 8.12-4
arj 3.10.22-14
ark 25.08.3-1
audacity 1:3.7.6-1
autorandr 1.15-1
b43-fwcutter 019-6
balena-etcher 2:2.1.3-2
base 3-2
base-devel 1-2
bash-completion 2.17.0-1
beautyline 2:3.0.3-1
bind 9.20.16-1
birdfont 2.33.6-1
bitwarden 2025.10.0-1
blender 17:5.0.0-1
bluedevil 1:6.5.4-1
bluetooth-support 1-7
brave-bin 1:1.85.111-1
bridge-utils 1.7.1-2
btop 1.4.5-1
btrfs-assistant 2.2-4
btrfs-progs 6.17.1-1
bzip2 1.0.8-6
cdrdao 1.2.5-7
cdrtools 3.02a09-6
chaotic-keyring 20251028-1
chaotic-mirrorlist 20251111-1
chromium 143.0.7499.40-1
conky 1.22.2-1
conky-manager2 2.7-2
converseen 0.15.1.3-1
coreutils 9.9-1
cpupower 6.17-2
cryptsetup 2.8.1-1
curlftpfs 0.9.2-10
darktable 2:5.2.1-4
debtap 3.6.3-1
dialog 1:1.3_20250116-1
digikam 8.8.0-2
discord 1:0.0.118-1
discover 6.5.4-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
docker 1:29.1.1-1
docker-compose 2.40.3-1
dolphin 25.08.3-1
dolphin-plugins 25.08.3-1
dosfstools 4.2-5
downgrade 11.5.5-1
dracut 109-1
dragon 25.08.3-1
dvd+rw-tools 7.1-12
dvgrab 3.5-14
e2fsprogs 1.47.3-2
ecryptfs-utils 111-9
efibootmgr 18-3
emovix 0.9.0-9
ethtool 1:6.15-1
exfatprogs 1.3.0-1
f2fs-tools 1.16.0-3
fastfetch 2.56.0-1
fatresize 1.1.0-2
ffmpegthumbs 25.08.3-1
file 5.46-5
filesystem 2025.10.12-1
filezilla 3.69.5-1
findutils 4.10.0-3
firedragon 1:12.6.0-1
firedragon-extension-plasma-integration 1.9-1.4
firewalld 2.4.0-1
fisher 4.4.5-1
flameshot 13.3.0-2
fontforge 20251009-2
freetype2 2.14.1-1
frei0r-plugins 2.5.0-1
fscrypt 0.3.5-1
fwupd 2.0.18-1
garuda-boot-options 1.1.2-2
garuda-browser-settings 1.2.4-1
garuda-common-settings 2.11.1-1
garuda-dr460nized 4.6.2-1
garuda-dracut-support 1.6.0-2
garuda-fish-config 1.5.26-1
garuda-hardware-profile-nvidia 1.1.3-1
garuda-hardware-profile-standard 1.1.3-1
garuda-hardware-tool 1.1.0-1
garuda-hooks 2.15.2-1
garuda-icons r48.aab2662-1
garuda-network-assistant 1.2.2-2
garuda-rani 3.5.1-1
garuda-setup-assistant 4.4.2-1
garuda-system-maintenance 3.1.0-2
garuda-wallpapers r94.9982951-1
garuda-wallpapers-extra r12.eaf3832-1
gawk 5.3.2-1
gimp 2.10.42-1
git 2.49.0-1
grsync 1.3.1-1
google-chrome 131.0.6778.108-1
inkscape 1.4.2-3
iputils 20250605-1
jfsutils 1.1.15-9
jq 1.8.1-1
k3b 1:25.08.3-1
kate 25.08.3-1
kcalc 25.08.3-1
kde-gtk-config 6.5.4-1
kdeconnect 25.08.3-2
kdegraphics-thumbnailers 25.08.3-1
kdenlive 25.08.3-3
kdeplasma-addons 6.5.4-1
kelvpn 7.7.90-1
kf6-servicemenus-rootactions 1.2.0-1
kimageformats 6.20.0-1
kinfocenter 6.5.4-1
kolourpaint 25.08.3-1
kompare 25.08.3-1
konsole 25.08.3-2
krita 5.2.13-3
krita-plugin-gmic 3.6.4.1-1
kscreen 6.5.4-1
ksshaskpass 6.5.4-1
kvantum 1.1.5-1
kvantum-qt5 1.1.5-1
kwallet-pam 6.5.4-1
kwayland-integration 6.5.4-1
kwin 6.5.4-1
kwin-effect-rounded-corners-git 0.8.6.r0.ga81e88f-1.1
kwin-effects-forceblur 1.5.0-1.9
lazygit 0.57.0-1
lib32-pipewire-jack 1:1.4.9-1
libdvdcss 1.5.0-1
libinput-gestures-qt 0.4-2
libreoffice-fresh 25.8.3-3
linux-zen 6.17.9.zen1-1
linux-zen-headers 6.17.9.zen1-1
luminancehdr 2.6.1.1-8
meld 3.22.3-1
micro 2.0.14-1
mpv 1:0.40.0-7
mullvad-vpn 2025.13-1.1
mypaint 2.0.1-6
mystiq 24.06.15-1.4
nano 8.7-1
neochat 25.08.3-2
nmap 7.98-3
npm 11.6.4-1
octopi 0.18.1-1
okular 25.08.3-1
ollama 0.13.1-1
onlyoffice-bin 9.2.0-1
partitionmanager 25.08.3-1
paru 2.1.0-1
plasma-applet-window-buttons 0.14.0-2
plasma-browser-integration 6.5.4-1
plasma-desktop 6.5.4-1
plasma-firewall 6.5.4-1
plasma-nm 6.5.4-1
plasma-pa 6.5.4-1
plasma-systemmonitor 6.5.4-1
plasma-thunderbolt 6.5.4-1
plasma6-applets-window-title 0.9.0-1.2
plasma6-wallpapers-blurredwallpaper 3.4.0-3.1
plocate 1.1.23-1
pnpm 10.24.0-1
power-profiles-daemon 0.30-1
powerdevil 6.5.4-1
powertop 2.15-2
qbittorrent 5.1.4-1
remmina 1:1.4.41-1
rsync 3.4.1-2
sddm 0.21.0-6
sddm-kcm 6.5.4-1
signal-desktop 7.81.0-1
simple-scan 49.1-1
snapd 2.72-1
snapper-support 1.1.2-3
snapper-tools 1.3.1-1
soundconverter 4.1.1-1
spectacle 1:6.5.4-1
sshfs 3.7.3-3
steam 1.0.0.85-1
sublime-text-4 4.4200-1
tailscale 1.90.9-1
telegram-desktop 6.3.6-1
torbrowser-launcher 0.3.7-3
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-fantasque-sans-mono 1.8.0-3
ttf-fira-sans 1:4.301-2
ttf-liberation 2.1.5-2
ttf-ms-fonts 2.0-12.1
ttf-opensans 3.003-1
ttf-wps-fonts 2.0-1.1
ugrep 7.5.0-1
v2raya 2.2.7.1-1
veracrypt 1.26.24-2
virtualbox-meta 2-3
visual-studio-code-bin 1.106.3-1
vlc 3.0.21-32
wire-desktop 3.40.3718-1
wps-office 11.1.0.11723-2
wps-office-mime 11.1.0.11723-2
xorg-server 21.1.21-1
xorg-xwayland 24.1.9-1
xray-bin 25.10.15-1
yakuake 25.08.3-1
zoom 6.6.11-1

